Country,StockCode,Description,CantidadTotal,RankingEnPais
France,23084,RABBIT NIGHT LIGHT,4000,1
France,22492,MINI PAINT SET VINTAGE ,2196,2
France,21731,RED TOADSTOOL LED NIGHT LIGHT,1291,3
Germany,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,1233,1
Germany,15036,ASSORTED COLOURS SILK FAN,1164,2
Germany,POST,POSTAGE,1114,3
Greece,21616,4 PEAR BOTANICAL DINNER CANDLES,48,1
Greece,21615,4 LAVENDER BOTANICAL DINNER CANDLES,48,2
Greece,22604,SET OF 4 NAPKIN CHARMS CUTLERY,32,3
Iceland,23076,ICE CREAM SUNDAE LIP GLOSS,240,1
Iceland,84558A,3D DOG PICTURE PLAYING CARDS,126,2
Iceland,22492,MINI PAINT SET VINTAGE ,108,3
Israel,20719,WOODLAND CHARLOTTE BAG,120,1
Israel,20724,RED RETROSPOT CHARLOTTE BAG,110,2
Israel,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,96,3
Italy,51014A,"FEATHER PEN,HOT PINK",240,1
Italy,23445,ICE CREAM BUBBLES,200,2
Italy,51014C,"FEATHER PEN,COAL BLACK",168,3
Japan,23084,RABBIT NIGHT LIGHT,3408,1
Japan,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,1494,2
Japan,22489,PACK OF 12 TRADITIONAL CRAYONS,1201,3
Lebanon,84929,ASSTD FRUIT+FLOWERS FRIDGE MAGNETS,24,1
Lebanon,47566,PARTY BUNTING,15,2
Lebanon,82552,WASHROOM METAL SIGN,12,3
Lithuania,22271,FELTCRAFT DOLL ROSIE,48,1
Lithuania,21915,RED  HARMONICA IN BOX ,48,2
Lithuania,22307,GOLD MUG BONE CHINA TREE OF LIFE,36,3
Malta,72741,GRAND CHOCOLATECANDLE,81,1
Malta,22065,CHRISTMAS PUDDING TRINKET POT ,60,2
Malta,22959,WRAP CHRISTMAS VILLAGE,25,3
Netherlands,23084,RABBIT NIGHT LIGHT,4801,1
Netherlands,22629,SPACEBOY LUNCH BOX ,4528,2
Netherlands,22630,DOLLY GIRL LUNCH BOX,4132,3
Norway,16008,SMALL FOLDING SCISSOR(POINTED EDGE),576,1
Norway,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,504,2
Norway,72232,FENG SHUI PILLAR CANDLE,384,3
Poland,21232,STRAWBERRY CERAMIC TRINKET BOX,144,1
Poland,37448,CERAMIC CAKE DESIGN SPOTTED MUG,144,2
Poland,22961,JAM MAKING SET PRINTED,108,3
Portugal,22740,POLKADOT PEN,240,1
Portugal,84991,60 TEATIME FAIRY CAKE CASES,218,2
Portugal,20725,LUNCH BAG RED RETROSPOT,215,3
RSA,22620,4 TRADITIONAL SPINNING TOPS,12,1
RSA,21889,WOODEN BOX OF DOMINOES,12,2
RSA,84375,SET OF 20 KIDS COOKIE CUTTERS,12,3
Saudi Arabia,22915,ASSORTED BOTTLE TOP  MAGNETS ,12,1
Saudi Arabia,22553,PLASTERS IN TIN SKULLS,12,2
Saudi Arabia,22555,PLASTERS IN TIN STRONGMAN,12,3
Singapore,22339,CHRISTMAS TREE PAINTED ZINC ,384,1
Singapore,22343,PARTY PIZZA DISH RED RETROSPOT,240,2
Singapore,22197,SMALL POPCORN HOLDER,200,3
Spain,84997D,CHILDRENS CUTLERY POLKADOT PINK,729,1
Spain,84997C,CHILDRENS CUTLERY POLKADOT BLUE,653,2
Spain,20728,LUNCH BAG CARS BLUE,558,3
Sweden,22492,MINI PAINT SET VINTAGE ,2916,1
Sweden,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2304,2
Sweden,23310,BUBBLEGUM RING ASSORTED,1080,3
Switzerland,22554,PLASTERS IN TIN WOODLAND ANIMALS,636,1
Switzerland,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,480,2
Switzerland,22551,PLASTERS IN TIN SPACEBOY,468,3
USA,23366,SET 12 COLOURING PENCILS DOILY,88,1
USA,21121,SET/10 RED POLKADOT PARTY CANDLES,72,2
USA,21122,SET/10 PINK POLKADOT PARTY CANDLES,72,3
United Arab Emirates,85215,ASSORTED CHEESE FRIDGE MAGNETS,72,1
United Arab Emirates,21700,BIG DOUGHNUT FRIDGE MAGNETS,72,2
United Arab Emirates,22492,MINI PAINT SET VINTAGE ,36,3
United Kingdom,23843,"PAPER CRAFT , LITTLE BIRDIE",80995,1
United Kingdom,23166,MEDIUM CERAMIC TOP STORAGE JAR,76919,2
United Kingdom,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,49182,3
Unspecified,23119,PACK OF 6 LARGE FRUIT STRAWS ,36,1
Unspecified,22952,60 CAKE CASES VINTAGE CHRISTMAS,36,2
Unspecified,22986,GINGHAM ROSE WRAP,25,3
